Which parts of meat are considered more perishable than others?,"Organ meats (such as liver, kidney, brain) and ground meat are more perishable."
What is the primary purpose of the R.T.I. Act?,"To provide access to information under the control of public authorities, promoting transparency and accountability."
Why is blotting paper effective for removing stains?,Because blotting paper absorbs the stain.
Under which two conditions is a high-calorie diet typically planned?,A high-calorie diet is given in feverish conditions and for individuals who are underweight.
What is the definition of a stain on fabric?,A spot or mark of discolouration left by the contact and absorption of a foreign substance.
How should a blood stain on synthetic fabric be removed?,Using cold water.
"To retain their colour, coloured garments should be turned inside out while _____.",drying
The shedding of baby teeth primarily changes a child's _____.,appearance
Tinned fish is an example of what type of food?,Convenience food.
"According to the provided text, human needs are of how many types?",Two types.
What is 'dovetailing' in the context of time and energy management?,Doing two or three activities at the same time.
How does play typically change from early to late childhood?,"It changes from informal and spontaneous to more formal, often requiring special clothing, equipment, and locations."
What is the main difference between a pamphlet and a leaflet in terms of content?,"A pamphlet can contain many pages and cover multiple topics, whereas a leaflet is typically a single sheet focused on one specific job or problem."
Name three factors that can cause food contamination during preparation.,"Food handlers, contaminated equipment (utensils, boards), and the storage room/containers."
What are the three main types of savings accounts that can be opened in a bank?,"Savings Account, Current Account, and Fixed Deposit Account."
Active play can be classified into what categories?,"Exploratory, constructive, dramatic, free-spontaneous, family games, and neighbourhood games."
Suggest one way to improve the diet of poor people using cereals.,"By replacing a single cereal with a mix of cereals, including at least one millet."
How does including green leafy vegetables improve the diet of poor people?,"It improves the intake of Vitamin A, Iron, and Calcium."
How do rhymes help to socialise children?,By encouraging co-operation with playmates while singing or dancing.
In which year was the Consumer Protection Act passed?,1986.
What is the recommended strategy to minimise a child's unpleasant emotions?,"To prevent situations that cause unreasonable fear, anger, and jealousy, and provide a quiet environment where needs are met promptly."
Why is good nutrition particularly important for a pregnant mother?,She needs to meet her own nutritional needs as well as those of the growing foetus and build fat stores for lactation.
How do books help transmit societal values?,"They transmit traditions, experiences, customs, and values from one generation to the next."
What is the definition of 'expenditure' in family finance?,The money used for buying different items and services for the family.
What is the main advantage of making a spending plan?,It helps to ensure expenditure does not exceed income and allows for saving money for times of need.
Name two ways young children show a great interest in themselves.,By looking at themselves in mirrors and asking questions about themselves.
"When selecting a readymade garment, why is it important to check the seams?",To ensure they are of even size and hang perpendicular to the floor.
What is the first principle of meal planning?,"Meeting the nutritional requirements of each family member, including adequate calories, protein, fats, minerals, and vitamins."
How can the cost of meals be reduced through purchasing habits?,"By using seasonal foods, buying in bulk, and choosing locally available foods."
What is the purpose of including sprouted grains or fermented foods in a meal plan?,To enhance the nutritive value of the meal.
What three food components help to provide satiety in a meal?,"Fat, protein, and fibre."
What is the first step in the procedure for washing a woollen blouse?,Shake out surface dust and mark the outline of the garment on a newspaper.
Should a woollen garment be steeped for a long time before washing? Why or why not?,"No, it should not be steeped as wool loses its strength when wet; very dirty items may be steeped for a few minutes."
What washing technique should be used for woollen garments?,Kneading and squeezing only; rubbing should be avoided.
Why should small woollen articles be dried on a flat surface?,To help them retain their original shape.
"What is the normal height of a six-year-old child, according to the text?",46.6 inches.
What developmental stage is known as the 'Pre-gang age'?,Early childhood.
What qualities should one look for when selecting onions for long-term storage?,"Hard, well-shaped globes with dry skins, free from spots and bruises."
Name one perishable food from a plant source and one from an animal source.,"Plant: fresh vegetables or fruits. Animal: milk, eggs, meat, or fish."
What are the two main types of resources in home science?,Human resources and non-human resources.
How does listening to the radio improve a child's speech?,"By increasing their vocabulary, improving grammar, and providing a good model of diction."
What is the recommended practice for evaluating traditional food selections?,"To evaluate them in the light of nutritional knowledge, retaining good habits and changing poor ones."
What are the ingredients needed to prepare albumin water?,"The white of one egg, 180ml of water, half a teaspoonful of sugar, and a pinch of salt."
What type of water should be used for food preparation to ensure hygiene?,Potable water.
What is 'money income' for a family?,The purchasing power in rupees received by the family within a given period.
What is the key difference between quantitative and qualitative limitations of resources?,"Quantitative limitations relate to the amount (e.g., time, money), while qualitative limitations relate to the quality (e.g., durability of goods)."
How does the amount of time spent in play typically change as a child ages?,The total time spent in play decreases with age.
What is the first step when making a time plan?,Make a list of all activities that need to be done during a certain period.
What is one common reason consumer information is not available when needed?,Consumers are not always careful in keeping important documents like guarantees or service instructions.
What is a key financial advantage of making garments at home?,Saving enough money by home sewing can help in meeting other needs and desires.
What is the principle of development that states every child progresses through set stages?,Every child passes through each of the several major stages of development.
What is the definition of a 'balanced diet'?,"A diet containing different foods in quantities and proportions to meet all nutrient needs, with a small provision for extra."
"Which food group is a major source of energy, protein, Vitamin B$_{1}$, iron, and fibre?",Cereal grains and products.
Pulses and legumes are a good source of which B-vitamin essential for cell growth?,Folic acid.
What are the main nutrients provided by the fats and sugar food group?,"Energy, fat, and essential fatty acids."
What is the first step in preparing a silk sari for washing?,Repair any tears and check for stains before washing.
What should be used to wash coloured silks instead of soap?,A rita-nut solution.
What can be added to the final rinse water for a silk sari to renew its sheen?,A little lime juice.
How should dark coloured silk garments be ironed to avoid a glaze?,They should be ironed on the wrong side.
What causes rice flakes to become less palatable when stored for a long period?,The slow loss of flavour compounds.
Name the two types of property.,Movable property and immovable property.
Who are considered the earliest role models for a child?,Parents.
Children who spend more time listening to the radio may get less _____.,exercise
A child may show intense jealousy and anger at the arrival of a new sibling due to resenting the mother's ____.,pre-occupation
What is 'investment' in the context of family funds?,"Placing family funds in a more or less permanent form with the expectation of a regular, predictable return."
What are market aids available to protect consumers?,"Standardisation marks, labels, packages, advertisements, pamphlets, and leaflets."
How does maintaining a record of expenditure help a housewife save money?,It helps to identify and stop unnecessary expenditures.
Name one responsibility of a consumer regarding product usage.,"Using a product safely, according to the manufacturer's directions."
"How are stains of animal origin, such as blood and egg, classified?",They are classified as protein stains.
"Grease stains, such as butter and curry, may consist of just grease spots or some colouring matter fixed with _____.",grease
"Passive play for young children often involves watching others, such as parents or other children at ____.",play
What are the four steps of the management process?,"Planning, Organising, Implementing, and Evaluating."
"In the process of socialisation, what are the models for a child's earliest forms of imitation?",Parents.
"The staple foods like rice, wheat, and maize belong to which food group in the Indian Food Guide?",Cereals & Breads.
"Vitamin C-rich fruits and vegetables include amla, guava, and _____.",orange
"When washing a white cotton shirt, soiled clothes may be soaked for 15-30 minutes before washing to _____ the dirt.",loosen
Why is boiling sometimes used as an additional process for white cotton clothes?,"It helps to improve their colour, disinfects them, and removes obstinate stains."
What is the reason we wear clothes?,"To protect ourselves from heat, cold, and injury."
When should a fluid diet be planned for a patient?,"During high fever, post-operatively, or whenever the patient is unable to consume solid foods."
What is a harmful psychological effect of terrifying radio programmes on children?,"They can produce nightmares, nervous tension, loss of sleep, and poor appetite."
What is a 'food guide'?,A tool designed to direct the selection of foods and quantities consumed to provide the Recommended Daily Allowance (RDA).
How can the ageing process of harvested fruits and vegetables be retarded?,"By storing them at a low temperature, such as in the crisper of a refrigerator."
What is the difference between a current account and a fixed deposit account regarding withdrawals?,"A current account has unlimited withdrawals via cheque, while a fixed deposit account does not allow withdrawal before the stated period lapses."
What is a demerit of home-made garments related to time and equipment?,"They require more time, adequate equipment and space, and potentially more money for special finishes."
What special attention do adolescent girls need in their diet?,They need to focus on foods rich in protein and iron for the synthesis and regeneration of red blood cells.
What is a key precautionary measure when storing clothes for a long time to prevent cracking?,To keep changing their folds.
What is the definition of 'interest' in early childhood?,The feeling a child has when they want to know or learn more about something that they see will benefit them.
How can a housewife save fuel through meal planning?,"By cooking multiple items together, such as boiling dal and potatoes at the same time."
One general characteristic of resources is that they can _____ each other.,replace
By what age do children typically begin to lose interest in children's radio programmes?,By the age of six.
A good laundry soap should be of a clear _____ colour.,pale
Why must food handlers be free from communicable diseases?,"Because they can transmit infection from their body to the food, making it unsafe for consumption."
What is the key difference between intentional and accidental food adulteration?,"Intentional adulteration is a wilful act to increase profit, while accidental adulteration is usually due to ignorance or negligence."
What is the primary reason for advertising a new product?,To boost its sales.
Name three common advertising media used by manufacturers.,"Newspapers, radio, television, cinemas, posters, or leaflets."
